coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
AK-501,Alaska Balance of State CoC,922.0,707.0,215.0,494.0,428.0,370.0,39.0,35.0,20.0,52015,49286,2729,112138,1155.0,1148.0,7.0,57333.35277961084,125712.269099153,236470.08280726505,32.03
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",901.0,682.0,219.0,593.0,307.0,338.0,17.0,532.0,1.0,435073,420011,15062,875549,19610.0,17589.0,2021.0,54950.82611938338,60217.139858716044,146677.1145153738,62.68
AL-501,Mobile City & County/Baldwin County CoC,551.0,318.0,233.0,349.0,200.0,219.0,20.0,307.0,1.0,287302,274943,12359,632346,13995.0,11947.0,2048.0,41198.732782369145,68124.46095148199,144183.5933831898,62.68
AL-502,Florence/Northwest Alabama CoC,256.0,234.0,22.0,117.0,138.0,169.0,16.0,24.0,0.0,117960,113046,4914,265569,5420.0,5154.0,266.0,35514.13743697495,46075.18171434259,101675.09192498686,62.68
AL-503,Huntsville/North Alabama CoC,424.0,308.0,116.0,252.0,170.0,242.0,17.0,166.0,3.0,284712,274854,9858,582801,7194.0,6566.0,628.0,47970.71317139126,74814.17738954985,154317.05745843472,62.68
AL-504,Montgomery City & County CoC,369.0,300.0,69.0,212.0,157.0,103.0,5.0,255.0,0.0,180062,173068,6994,383487,6141.0,6024.0,117.0,42723.73955310089,48557.19540843713,114582.85419612934,62.68
AL-506,Tuscaloosa City & County CoC,57.0,56.0,1.0,29.0,28.0,20.0,1.0,34.0,0.0,103605,99857,3748,208607,4897.0,4162.0,735.0,39062.0,53936.64388928884,144047.9622821409,62.68
AL-507,Alabama Balance of State CoC,730.0,440.0,290.0,378.0,349.0,482.0,12.0,239.0,0.0,699758,670746,29012,1631398,29993.0,28014.0,1979.0,36846.62881896386,46601.05064709154,105185.15016742513,62.68
AR-500,Little Rock/Central Arkansas CoC,1081.0,531.0,550.0,709.0,371.0,446.0,24.0,572.0,2.0,284795,275379,9416,594991,11122.0,10318.0,804.0,47427.67567576652,58704.185495905425,136562.08429095743,60.089999999999996
AR-501,Fayetteville/Northwest Arkansas CoC,474.0,323.0,151.0,266.0,205.0,369.0,41.0,50.0,3.0,304006,295433,8573,617303,4047.0,3587.0,460.0,62185.029879977905,105860.74308802877,169364.70313245416,60.09
