coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_chronically_homeless,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,poverty,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,public_welfare_expenditures_per_capita,total_expenditures_per_capita,zori_rent_value,year
AK-501,Alaska Balance of State CoC,891.0,722.0,169.0,216.0,44612,41615,2997,95651,1004,963.0,41.0,6565,62254.0,135690.10127926248,253388.7645618853,32.03,3729.0485,17374.346,0.0,2020
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",848.0,601.0,247.0,150.0,438554,411974,26580,876770,20034,17671.0,2363.0,107537,58717.96785017735,75650.82224362102,170709.4548267083,62.68,1553.5292,8837.525,1087.827729852295,2020
AL-501,Mobile City & County/Baldwin County CoC,631.0,267.0,364.0,71.0,294110,271326,22784,642003,13929,11881.0,2048.0,91587,45726.574142176905,88330.8305505306,168776.2385848601,62.68,1553.5292,8837.525,1006.317269668124,2020
AL-503,Huntsville/North Alabama CoC,561.0,406.0,155.0,139.0,295493,280798,14695,601564,7317,6447.0,870.0,66380,53044.07843720701,96252.4360121682,183557.0679690547,62.67999999999999,1553.5291999999997,8837.525,974.7950267426756,2020
AL-504,Montgomery City & County CoC,351.0,275.0,76.0,74.0,172480,159934,12546,362942,5617,5468.0,149.0,59272,47512.64266466819,59680.01697979896,130716.53045073853,62.68000000000001,1553.5292,8837.525,594.0411193449337,2020
AL-506,Tuscaloosa City & County CoC,67.0,41.0,26.0,0.0,103837,96371,7466,210758,4862,4035.0,827.0,28776,42868.0,65339.33529950721,164815.2420840742,62.68,1553.5292,8837.525,1277.9926630843236,2020
AL-507,Alabama Balance of State CoC,398.0,206.0,192.0,10.0,300669,282178,18491,690076,11706,10258.0,1448.0,105795,42212.41450072166,74063.36332842162,144535.25104429264,62.68,1553.5292,8837.525,344.2859049587237,2020
AR-500,Little Rock/Central Arkansas CoC,1186.0,613.0,573.0,272.0,278899,259818,19081,590869,10535,9146.0,1389.0,77062,51987.48313585583,68512.76675527415,146178.01235309147,60.09,2445.2393,8519.0742,825.3689026229678,2020
AR-501,Fayetteville/Northwest Arkansas CoC,352.0,197.0,155.0,98.0,294555,280812,13743,595399,3650,3245.0,405.0,65976,67455.26114252795,131786.04159512933,197698.85921220286,60.09,2445.2393,8519.0742,1003.2909974813141,2020
AR-503,Arkansas Balance of State CoC,773.0,228.0,545.0,128.0,186046,174593,11453,403287,5436,5017.0,419.0,56694,41352.77486504648,83376.28067310127,151849.0894813363,60.09,2445.2393,8519.0742,627.8719054766217,2020
AZ-500,Arizona Balance of State CoC,2236.0,1061.0,1175.0,651.0,352101,321541,30560,839475,3499,3123.0,376.0,124047,42966.139144107925,183363.40501491807,288810.23931381066,65.97,2410.0727,8157.2176,996.1520724478922,2020
AZ-501,Tucson/Pima County CoC,1324.0,745.0,579.0,383.0,481295,444630,36665,1061175,9257,8979.0,278.0,154790,48373.0,160109.18214586013,232049.79597142478,65.97,2410.0727,8157.2176,1163.7027460880001,2020
AZ-502,"Phoenix, Mesa/Maricopa County CoC",7419.0,3652.0,3767.0,1052.0,2266227,2100505,165722,4579081,24074,21666.0,2408.0,520797,53521.0,231905.50724229644,319734.7717709932,65.97,2410.0727,8157.217599999999,1391.6299305683508,2020
CA-500,San Jose/Santa Clara City & County CoC,9605.0,1683.0,7922.0,2526.0,1025616,952499,73117,1907105,24567,22355.0,2212.0,123516,123661.0,748609.3188724061,1143015.1155206452,61.17,3465.8154,13698.886000000002,2899.055062597783,2020
CA-502,"Oakland, Berkeley/Alameda County CoC",8137.0,1825.0,6312.0,2437.0,819689,746490,73199,1662323,34399,30271.0,4128.0,139636,87078.0,569586.4468849609,839034.4744498061,61.169999999999995,3465.8154,13698.886,2636.411092059621,2020
