coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
AK-501,Alaska Balance of State CoC,835.0,633.0,202.0,457.0,375.0,394.0,62.0,38.0,31.0,52861,49925,2936,114599,0,0.0,0.0,53332.59018839606,115983.76416774558,217496.15724920892,32.03
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1228.0,1032.0,196.0,757.0,465.0,431.0,17.0,728.0,1.0,417302,394873,22429,872045,0,0.0,0.0,50204.54939940026,53154.67842559963,133915.27894256267,62.67999999999999
AL-501,Mobile City & County/Baldwin County CoC,623.0,387.0,236.0,406.0,215.0,276.0,18.0,318.0,0.0,276008,258828,17180,622956,0,0.0,0.0,38893.00827506276,56882.39801818992,129435.4839636351,62.68
AL-502,Florence/Northwest Alabama CoC,337.0,286.0,51.0,117.0,220.0,243.0,7.0,88.0,0.0,114649,107091,7558,265743,0,0.0,0.0,33567.416044825266,42654.01927154449,95612.68560289725,62.68
AL-503,Huntsville/North Alabama CoC,385.0,298.0,87.0,244.0,141.0,194.0,10.0,180.0,0.0,266887,252912,13975,568971,0,0.0,0.0,44584.95981869023,66231.66413304127,142412.5194267269,62.68
AL-504,Montgomery City & County CoC,367.0,293.0,74.0,186.0,181.0,69.0,6.0,297.0,1.0,176069,166313,9756,384600,0,0.0,0.0,40612.076536661465,45112.60409269676,110701.58798897552,62.68
AL-506,Tuscaloosa City & County CoC,177.0,47.0,130.0,95.0,82.0,46.0,3.0,127.0,0.0,98431,92864,5567,206737,0,0.0,0.0,36450.0,50558.50787772982,138406.5990270175,62.68
AL-507,Alabama Balance of State CoC,827.0,459.0,368.0,473.0,350.0,375.0,16.0,433.0,2.0,679535,637329,42206,1633885,0,0.0,0.0,34736.8865838171,41371.22794865031,96618.17921548328,62.68
AR-500,Little Rock/Central Arkansas CoC,808.0,469.0,339.0,578.0,229.0,336.0,22.0,441.0,0.0,281469,271765,9704,592141,0,0.0,0.0,45644.324252162914,54515.392694496055,132737.5338960382,60.089999999999996
AR-501,Fayetteville/Northwest Arkansas CoC,550.0,489.0,61.0,286.0,264.0,398.0,51.0,105.0,4.0,293887,285126,8761,594287,0,0.0,0.0,57055.04134366055,85738.14000542474,147928.99081135122,60.089999999999996
