coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature,year
AK-501,Alaska Balance of State CoC,630.0,630.0,0.0,372.0,258.0,282.0,32.0,40.0,18.0,90930,85278,5652,198511,2017.0,1932.0,85.0,65084.65732377551,156634.04219060173,276613.9526080159,32.03,2021
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",875.0,556.0,319.0,627.0,242.0,343.0,24.0,507.0,2.0,439729,425849,13880,897425,20203.0,17826.0,2377.0,62872.523817589215,92572.22129759338,195068.95936552787,62.68,2021
AL-501,Mobile City & County/Baldwin County CoC,219.0,219.0,0.0,123.0,96.0,95.0,1.0,116.0,2.0,290667,278942,11725,652378,14205.0,11772.0,2433.0,49441.667261924835,104727.19475461825,196266.1729327486,62.68,2021
AL-502,Florence/Northwest Alabama CoC,183.0,149.0,34.0,97.0,85.0,147.0,135.0,36.0,0.0,118433,114759,3674,270278,5644.0,5212.0,432.0,43311.03919297908,64313.86336410991,132736.21610641808,62.68,2021
AL-503,Huntsville/North Alabama CoC,300.0,300.0,0.0,174.0,126.0,149.0,12.0,132.0,1.0,300645,292920,7725,627377,7294.0,6353.0,941.0,55787.814151618564,116731.9150028232,219000.27139389844,62.68,2021
AL-504,Montgomery City & County CoC,215.0,215.0,0.0,125.0,90.0,63.0,4.0,143.0,0.0,179971,172720,7251,395106,6413.0,6137.0,276.0,48893.45274432684,65461.202944937475,141680.92641052388,62.67999999999999,2021
AL-506,Tuscaloosa City & County CoC,37.0,37.0,0.0,29.0,8.0,7.0,2.0,28.0,0.0,101686,98093,3593,235668,4890.0,4156.0,734.0,43439.0,72498.57690003373,182657.78550965854,62.68,2021
AL-507,Alabama Balance of State CoC,190.0,92.0,98.0,85.0,105.0,97.0,4.0,80.0,1.0,696371,672438,23933,1659383,30714.0,27008.0,3706.0,44032.37978393174,65349.191868162496,137264.4097093864,62.68,2021
AR-500,Little Rock/Central Arkansas CoC,401.0,401.0,0.0,262.0,139.0,209.0,10.0,173.0,3.0,281049,268789,12260,606248,11172.0,9666.0,1506.0,54907.62495546377,78755.73781928823,161047.4578180463,60.09,2021
AR-501,Fayetteville/Northwest Arkansas CoC,157.0,157.0,0.0,83.0,73.0,125.0,11.0,20.0,1.0,318101,308655,9446,651868,4066.0,3515.0,551.0,66480.82352255365,153095.09474442212,230132.95063160805,60.09000000000001,2021
AR-503,Arkansas Balance of State CoC,1190.0,662.0,528.0,734.0,455.0,877.0,97.0,276.0,3.0,379069,362863,16206,868810,16517.0,14334.0,2183.0,43191.496467582096,65848.9454664612,134504.35849360234,60.09,2021
AR-505,Southeast Arkansas CoC,67.0,67.0,0.0,28.0,39.0,23.0,1.0,44.0,0.0,109119,103195,5924,264667,6918.0,5725.0,1193.0,46201.28022760677,27843.525053445603,80647.31288400709,60.09,2021
AZ-500,Arizona Balance of State CoC,989.0,989.0,0.0,573.0,411.0,567.0,214.0,77.0,7.0,529191,492306,36885,1263768,6531.0,6070.0,461.0,46640.5806334707,195036.46064850767,306503.4960665066,65.97,2021
AZ-501,Tucson/Pima County CoC,821.0,821.0,0.0,468.0,343.0,604.0,303.0,120.0,2.0,483156,458436,24720,1048895,9240.0,8500.0,740.0,52942.0,195464.47069312303,279050.1750871648,65.97,2021
AZ-502,"Phoenix, Mesa/Maricopa County CoC",3650.0,3650.0,0.0,2033.0,1605.0,1969.0,949.0,1194.0,36.0,2320686,2213563,107123,4494693,24174.0,21514.0,2660.0,59759.0,279316.4889737172,382900.0261707652,65.97,2021
CA-500,San Jose/Santa Clara City & County CoC,2301.0,2301.0,0.0,1417.0,862.0,1404.0,1148.0,302.0,152.0,1012385,963744,48641,1886595,24617.0,22893.0,1724.0,138724.0,843067.0179432413,1297744.250207016,61.17,2021
CA-502,"Oakland, Berkeley/Alameda County CoC",2546.0,2546.0,0.0,1492.0,1030.0,714.0,396.0,1442.0,69.0,812967,763473,49494,1643837,34702.0,30537.0,4165.0,99746.0,649355.3518550418,984525.5472136809,61.17,2021
CA-503,Sacramento City & County CoC,1885.0,1885.0,0.0,900.0,962.0,876.0,322.0,700.0,30.0,719721,669851,49870,1588106,19802.0,17623.0,2179.0,61829.0,351030.73222782114,465702.34784039814,61.169999999999995,2021
