coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value,mean_annual_temperature
AK-501,Alaska Balance of State CoC,630.0,630.0,0.0,372.0,258.0,282.0,32.0,40.0,18.0,90930,85278,5652,198511,2017.0,1932.0,85.0,65084.65732377551,156634.04219060173,276613.9526080159,32.03
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",875.0,556.0,319.0,627.0,242.0,343.0,24.0,507.0,2.0,439729,425849,13880,897425,20203.0,17826.0,2377.0,62872.523817589215,92572.22129759338,195068.95936552787,62.68
AL-501,Mobile City & County/Baldwin County CoC,219.0,219.0,0.0,123.0,96.0,95.0,1.0,116.0,2.0,290667,278942,11725,652378,14205.0,11772.0,2433.0,49441.667261924835,104727.19475461825,196266.1729327486,62.68
AL-502,Florence/Northwest Alabama CoC,183.0,149.0,34.0,97.0,85.0,147.0,135.0,36.0,0.0,118433,114759,3674,270278,5644.0,5212.0,432.0,43311.03919297908,64313.86336410991,132736.21610641808,62.68
AL-503,Huntsville/North Alabama CoC,300.0,300.0,0.0,174.0,126.0,149.0,12.0,132.0,1.0,300645,292920,7725,627377,7294.0,6353.0,941.0,55787.814151618564,116731.9150028232,219000.27139389844,62.68
AL-504,Montgomery City & County CoC,215.0,215.0,0.0,125.0,90.0,63.0,4.0,143.0,0.0,179971,172720,7251,395106,6413.0,6137.0,276.0,48893.45274432684,65461.202944937475,141680.92641052388,62.67999999999999
AL-506,Tuscaloosa City & County CoC,37.0,37.0,0.0,29.0,8.0,7.0,2.0,28.0,0.0,101686,98093,3593,235668,4890.0,4156.0,734.0,43439.0,72498.57690003373,182657.78550965854,62.68
AL-507,Alabama Balance of State CoC,190.0,92.0,98.0,85.0,105.0,97.0,4.0,80.0,1.0,696371,672438,23933,1659383,30714.0,27008.0,3706.0,44032.37978393174,65349.191868162496,137264.4097093864,62.68
AR-500,Little Rock/Central Arkansas CoC,401.0,401.0,0.0,262.0,139.0,209.0,10.0,173.0,3.0,281049,268789,12260,606248,11172.0,9666.0,1506.0,54907.62495546377,78755.73781928823,161047.4578180463,60.09
AR-501,Fayetteville/Northwest Arkansas CoC,157.0,157.0,0.0,83.0,73.0,125.0,11.0,20.0,1.0,318101,308655,9446,651868,4066.0,3515.0,551.0,66480.82352255365,153095.09474442212,230132.95063160805,60.09000000000001
AR-503,Arkansas Balance of State CoC,1190.0,662.0,528.0,734.0,455.0,877.0,97.0,276.0,3.0,379069,362863,16206,868810,16517.0,14334.0,2183.0,43191.496467582096,65848.9454664612,134504.35849360234,60.09
AR-505,Southeast Arkansas CoC,67.0,67.0,0.0,28.0,39.0,23.0,1.0,44.0,0.0,109119,103195,5924,264667,6918.0,5725.0,1193.0,46201.28022760677,27843.525053445603,80647.31288400709,60.09
AZ-500,Arizona Balance of State CoC,989.0,989.0,0.0,573.0,411.0,567.0,214.0,77.0,7.0,529191,492306,36885,1263768,6531.0,6070.0,461.0,46640.5806334707,195036.46064850767,306503.4960665066,65.97
AZ-501,Tucson/Pima County CoC,821.0,821.0,0.0,468.0,343.0,604.0,303.0,120.0,2.0,483156,458436,24720,1048895,9240.0,8500.0,740.0,52942.0,195464.47069312303,279050.1750871648,65.97
AZ-502,"Phoenix, Mesa/Maricopa County CoC",3650.0,3650.0,0.0,2033.0,1605.0,1969.0,949.0,1194.0,36.0,2320686,2213563,107123,4494693,24174.0,21514.0,2660.0,59759.0,279316.4889737172,382900.0261707652,65.97
CA-500,San Jose/Santa Clara City & County CoC,2301.0,2301.0,0.0,1417.0,862.0,1404.0,1148.0,302.0,152.0,1012385,963744,48641,1886595,24617.0,22893.0,1724.0,138724.0,843067.0179432413,1297744.250207016,61.17
CA-502,"Oakland, Berkeley/Alameda County CoC",2546.0,2546.0,0.0,1492.0,1030.0,714.0,396.0,1442.0,69.0,812967,763473,49494,1643837,34702.0,30537.0,4165.0,99746.0,649355.3518550418,984525.5472136809,61.17
CA-503,Sacramento City & County CoC,1885.0,1885.0,0.0,900.0,962.0,876.0,322.0,700.0,30.0,719721,669851,49870,1588106,19802.0,17623.0,2179.0,61829.0,351030.73222782114,465702.34784039814,61.169999999999995
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",787.0,787.0,0.0,454.0,328.0,574.0,221.0,56.0,9.0,243679,230168,13511,484315,6627.0,5898.0,729.0,81006.0,513648.0947180655,724274.8013237859,61.17
CA-505,Richmond/Contra Costa County CoC,820.0,820.0,0.0,468.0,348.0,357.0,178.0,295.0,22.0,543996,509294,34702,1163298,15365.0,13982.0,1383.0,99312.0,522209.3693553732,765624.8795061515,61.169999999999995
CA-506,"Salinas/Monterey, San Benito Counties CoC",678.0,678.0,0.0,360.0,318.0,560.0,407.0,56.0,17.0,244056,224175,19881,503924,6076.0,4498.0,1578.0,64165.996660210665,501830.8657157232,698064.3850410745,61.17
CA-507,Marin County CoC,225.0,225.0,0.0,124.0,100.0,155.0,86.0,41.0,5.0,129479,123589,5890,259162,3712.0,3452.0,260.0,164118.0,784860.0110989087,1296494.4509589258,61.17
CA-508,Watsonville/Santa Cruz City & County CoC,800.0,800.0,0.0,479.0,318.0,656.0,307.0,54.0,6.0,133124,123902,9222,260495,6266.0,5764.0,502.0,85554.0,642024.4789311141,991617.9680153629,61.17
CA-509,Mendocino County CoC,318.0,318.0,0.0,144.0,170.0,232.0,74.0,4.0,0.0,36821,34503,2318,91003,1773.0,1312.0,461.0,56047.0,326176.41607322363,481484.61989911576,61.169999999999995
CA-510,"Turlock, Modesto/Stanislaus County CoC",2927.0,726.0,2201.0,1337.0,1586.0,2119.0,1228.0,374.0,53.0,240200,220161,20039,552851,6472.0,6083.0,389.0,52356.0,307047.53732839454,394834.2556299625,61.17
CA-511,Stockton/San Joaquin County CoC,885.0,885.0,0.0,554.0,330.0,558.0,334.0,226.0,24.0,336882,307953,28929,788140,7904.0,6639.0,1265.0,57783.0,332876.271636912,469924.6227720012,61.17000000000001
CA-512,Daly City/San Mateo County CoC,621.0,621.0,0.0,343.0,273.0,355.0,207.0,136.0,38.0,433387,413318,20069,739060,6810.0,6197.0,613.0,160485.0,949568.7376591642,1429258.0836164148,61.17
CA-513,"Visalia/Kings, Tulare Counties CoC",494.0,494.0,0.0,276.0,217.0,402.0,253.0,46.0,2.0,256686,229974,26712,629625,5666.0,4759.0,907.0,46819.61367480643,197160.89843828886,279867.87874853343,61.17
CA-514,Fresno City & County/Madera County CoC,999.0,999.0,0.0,559.0,431.0,698.0,478.0,207.0,15.0,506737,460626,46111,1171902,18755.0,17288.0,1467.0,50653.82557073885,222542.85987804524,324873.2169853842,61.17
CA-515,"Roseville, Rocklin/Placer, Nevada Counties CoC",708.0,357.0,351.0,406.0,298.0,557.0,122.0,60.0,10.0,236945,224646,12299,516246,2315.0,2069.0,246.0,75270.62974240963,451683.7970692149,611826.9544114673,61.17
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",792.0,792.0,0.0,429.0,362.0,587.0,129.0,18.0,9.0,120189,111509,8680,317179,4883.0,4096.0,787.0,52130.77927920827,199871.82152518842,304967.8766082707,61.17
CA-517,Napa City & County CoC,200.0,200.0,0.0,129.0,70.0,167.0,54.0,9.0,0.0,68555,64394,4161,136206,1911.0,1452.0,459.0,90608.0,588773.861785653,822109.2550060436,61.17
CA-518,Vallejo/Solano County CoC,397.0,397.0,0.0,222.0,173.0,163.0,57.0,164.0,18.0,200674,185789,14885,450350,6994.0,5245.0,1749.0,65448.0,424546.41043083573,532120.8299622867,61.17
CA-519,"Chico, Paradise/Butte County CoC",499.0,499.0,0.0,240.0,254.0,397.0,66.0,31.0,5.0,92217,85857,6360,206190,3122.0,2809.0,313.0,54694.0,236003.38410527314,371912.0429343351,61.17
CA-520,Merced City & County CoC,835.0,380.0,455.0,206.0,174.0,289.0,190.0,58.0,7.0,115207,103311,11896,284458,3599.0,3023.0,576.0,46580.0,262852.45979421795,344168.5386955925,61.169999999999995
