coc_number,coc_name,overall_homeless,sheltered_total_homeless,unsheltered_homeless,overall_homeless_male,overall_homeless_female,overall_homeless_white,overall_homeless_hispanic_latino,overall_homeless_black_african_american_or_african,overall_homeless_asian_or_asian_american,labor_force,employed,unemployed,population,affordable_units_total,affordable_units_occupied,affordable_units_vacant,per_capita_income,zhvi_bottom_tier_value,zhvi_all_homes_value
AK-501,Alaska Balance of State CoC,717.0,578.0,139.0,397.0,320.0,290.0,25.0,24.0,10.0,52742,49800,2942,113516,1146.0,1150.0,-4.0,54653.79890059551,120223.0614080896,226821.60024878703
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",1092.0,875.0,217.0,738.0,334.0,330.0,17.0,726.0,1.0,426419,409024,17395,873746,19407.0,17517.0,1890.0,52659.021047306655,55801.0687859079,139120.69744434353
AL-501,Mobile City & County/Baldwin County CoC,606.0,341.0,265.0,383.0,222.0,273.0,18.0,314.0,4.0,282169,268252,13917,626946,14150.0,12096.0,2054.0,39889.593901229135,61154.21921862687,136238.48243627266
AL-502,Florence/Northwest Alabama CoC,155.0,133.0,22.0,81.0,72.0,112.0,3.0,7.0,0.0,116462,110750,5712,265666,5324.0,5091.0,233.0,34452.81462437798,44008.69503426785,98444.32108637101
AL-503,Huntsville/North Alabama CoC,436.0,337.0,99.0,277.0,158.0,233.0,14.0,174.0,1.0,275549,264411,11138,575145,7197.0,6727.0,470.0,46002.08621651931,69837.73555155916,147491.36658888657
AL-504,Montgomery City & County CoC,377.0,314.0,63.0,273.0,104.0,70.0,7.0,302.0,0.0,179461,171692,7769,384695,6231.0,5608.0,623.0,41734.49414991097,46734.163262596,112235.85560854954
AL-506,Tuscaloosa City & County CoC,200.0,137.0,63.0,110.0,89.0,68.0,8.0,130.0,0.0,101014,96711,4303,207849,4896.0,4259.0,637.0,37746.0,50377.11645724983,138049.42933702495
AL-507,Alabama Balance of State CoC,764.0,416.0,348.0,496.0,268.0,381.0,5.0,374.0,3.0,692891,659834,33057,1633050,30013.0,27666.0,2347.0,35711.16233550718,43476.14299806246,100213.13172701711
AR-500,Little Rock/Central Arkansas CoC,1006.0,456.0,550.0,668.0,337.0,411.0,27.0,537.0,2.0,283446,273973,9473,594269,11349.0,9912.0,1437.0,46435.53925579157,55600.73076692056,133059.8663381554
AR-501,Fayetteville/Northwest Arkansas CoC,330.0,235.0,95.0,193.0,136.0,261.0,18.0,25.0,4.0,300393,291707,8686,606987,4070.0,3644.0,426.0,58350.88993174483,96341.50228219423,159349.91219613364
AR-503,Arkansas Balance of State CoC,875.0,414.0,461.0,495.0,379.0,624.0,15.0,238.0,3.0,387455,372033,15422,879558,16326.0,14546.0,1780.0,34434.41225024387,43340.28490063689,100685.52920212391
AR-505,Southeast Arkansas CoC,88.0,88.0,0.0,36.0,52.0,15.0,1.0,72.0,0.0,115616,110014,5602,279811,6878.0,5540.0,1338.0,37037.30616380343,18433.799068024317,61438.8089245247
AZ-500,Arizona Balance of State CoC,1768.0,1046.0,722.0,1090.0,675.0,1223.0,317.0,80.0,11.0,414373,389203,25170,1020824,4059.0,3771.0,288.0,36495.08294965635,124856.67105319389,212757.04798055498
AZ-501,Tucson/Pima County CoC,1574.0,1189.0,385.0,1071.0,494.0,1140.0,470.0,193.0,10.0,464230,443046,21184,1027115,9293.0,8549.0,744.0,41574.0,120356.92046942575,189467.31318230752
AZ-502,"Phoenix, Mesa/Maricopa County CoC",5605.0,3546.0,2059.0,3431.0,2162.0,3723.0,1284.0,1338.0,30.0,2088547,1999783,88764,4329227,24078.0,22392.0,1686.0,45454.0,169526.26843149634,253285.85672788622
CA-500,San Jose/Santa Clara City & County CoC,7394.0,1946.0,5448.0,4973.0,2404.0,3446.0,3256.0,1069.0,225.0,1037356,1003683,33673,1932251,23800.0,21182.0,2618.0,99336.0,611470.9019854142,949456.6714761574
CA-502,"Oakland, Berkeley/Alameda County CoC",5629.0,1766.0,3863.0,3277.0,2295.0,1710.0,952.0,2747.0,130.0,838175,807100,31075,1659824,33655.0,30289.0,3366.0,70370.0,449941.20949312655,728373.1795830041
CA-503,Sacramento City & County CoC,3665.0,1613.0,2052.0,2435.0,1169.0,1817.0,656.0,1124.0,24.0,696466,663727,32739,1527984,19503.0,18137.0,1366.0,49125.0,232525.99115027502,333973.3496660941
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2835.0,988.0,1847.0,1968.0,855.0,1990.0,697.0,219.0,29.0,259768,250932,8836,502203,6349.0,5904.0,445.0,58347.0,377626.74999480176,574730.6938506615
CA-505,Richmond/Contra Costa County CoC,1607.0,696.0,911.0,1047.0,556.0,802.0,292.0,535.0,27.0,557869,536304,21565,1145623,14765.0,13583.0,1182.0,75929.0,375439.24774653185,571914.1912883379
CA-506,"Salinas/Monterey, San Benito Counties CoC",3364.0,850.0,2514.0,2168.0,1189.0,2574.0,2339.0,351.0,13.0,250075,232441,17634,493993,5403.0,3987.0,1416.0,52689.805821135116,338693.8912383154,498359.2390151658
CA-507,Marin County CoC,1117.0,409.0,708.0,760.0,350.0,720.0,197.0,172.0,19.0,139632,135584,4048,259975,3504.0,3328.0,176.0,122748.0,564646.3370484238,970100.3027912591
CA-508,Watsonville/Santa Cruz City & County CoC,2249.0,450.0,1799.0,1655.0,590.0,1323.0,790.0,153.0,5.0,142601,134423,8178,274865,6007.0,5346.0,661.0,62813.0,444726.5278171782,717917.4623455663
CA-509,Mendocino County CoC,1238.0,160.0,1078.0,824.0,411.0,1026.0,117.0,34.0,2.0,39534,37735,1799,87690,1649.0,1286.0,363.0,45984.0,213285.48427280193,360868.7123100496
CA-510,"Turlock, Modesto/Stanislaus County CoC",1661.0,840.0,821.0,1032.0,620.0,1317.0,550.0,174.0,24.0,241971,223735,18236,544494,6302.0,5671.0,631.0,41076.0,202116.0035651015,281385.57735634985
CA-511,Stockton/San Joaquin County CoC,1542.0,975.0,567.0,935.0,605.0,953.0,457.0,417.0,40.0,322951,300205,22746,743286,7746.0,7048.0,698.0,41601.0,213952.99210233917,328538.201883966
CA-512,Daly City/San Mateo County CoC,1253.0,616.0,637.0,788.0,460.0,788.0,388.0,175.0,63.0,444909,432729,12180,768658,6356.0,6038.0,318.0,116077.0,685007.0860863284,1109735.0829301619
